id;start_date;end_date;language
1;2020-09-14T15:09:37;2020-09-14T12:59:52;SPANISH
2;2020-09-13T19:59:48;2020-09-14T15:04:13;SPANISH
3;2020-09-14T10:55:07;2020-09-13T21:29:16;FRENCH
4;2020-09-14T02:12:38;2020-09-14T13:44:04;FRENCH
5;2020-09-14T11:42:56;2020-09-14T16:29:55;FRENCH
6;2020-09-14T05:35:17;2020-09-14T17:43:31;FRENCH
7;2020-09-14T07:20:37;2020-09-14T01:11:28;FRENCH
8;2020-09-14T06:16:50;2020-09-14T16:32:58;SPANISH
9;2020-09-14T04:57:59;2020-09-14T01:39:22;SPANISH
10;2020-09-14T13:10:03;2020-09-13T23:44:33;SPANISH
